基金代码	基金名称	单位净值	日期	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来	手续费	起购金额	跟踪标的	跟踪方式
A510080	长盛全债指数增强债券A	1.6058	2024-09-13	0.01	-0.04	0.16	-0.16	1.6	4.53	7.97	11.99	3.02	389.13	0.1	10元	沪深指数	增强指数型
A012157	汇添富上证50基本面增强指数A	0.7915	2024-09-13	0.3	-1.6	-3.89	-7.44	-4.42	-4.0	-14.17		2.38	-20.85	0.15	10元	沪深指数	增强指数型
A012158	汇添富上证50基本面增强指数C	0.7825	2024-09-13	0.29	-1.61	-3.92	-7.54	-4.61	-4.39	-14.88		2.09	-21.75	0.0	10元	沪深指数	增强指数型
A100032	富国中证红利指数增强A	0.91	2024-09-13	-0.44	-3.29	-6.86	-11.74	-8.45	-5.46	-2.87	-10.05	-2.34	299.72	0.15	10元	沪深指数	增强指数型
A008682	富国中证红利指数增强C	0.897	2024-09-13	-0.44	-3.13	-6.76	-11.71	-8.47	-5.63	-3.31	-10.72	-2.48	30.31	0.0	10元	沪深指数	增强指数型
A010908	大成沪深300增强发起式A	0.7023	2024-09-13	-0.21	-2.57	-4.27	-6.72	-5.82	-6.5	-15.23	-29.81	-1.45	-29.77	0.15	10元	沪深指数	增强指数型
A010909	大成沪深300增强发起式C	0.6924	2024-09-13	-0.22	-2.57	-4.3	-6.81	-6.01	-6.87	-15.91	-30.64	-1.72	-30.76	0.0	10元	沪深指数	增强指数型
A007044	博道沪深300指数增强A	1.1864	2024-09-13	-0.23	-1.87	-3.9	-7.53	-6.92	-7.13	-16.07	-29.26	-2.63	18.64	0.12	10元	沪深指数	增强指数型
A007045	博道沪深300指数增强C	1.1612	2024-09-13	-0.22	-1.87	-3.93	-7.62	-7.1	-7.5	-16.74	-30.1	-2.91	16.12	0.0	10元	沪深指数	增强指数型
A010736	易方达沪深300指数增强A	0.6539	2024-09-13	-0.24	-2.24	-5.78	-10.96	-5.82	-7.58	-11.75	-27.42	1.77	-34.61	0.15	10元	沪深指数	增强指数型
A010737	易方达沪深300指数增强C	0.6461	2024-09-13	-0.25	-2.24	-5.8	-11.03	-5.95	-7.92	-12.36	-28.13	1.48	-35.39	0.0	10元	沪深指数	增强指数型
A004513	海富通沪深300指数增强A	0.9549	2024-09-13	-0.28	-2.26	-5.34	-6.37	-6.84	-8.43	-16.32	-26.77	-1.6	16.61	0.1	10元	沪深指数	增强指数型
A005870	鹏华沪深300指数增强A	1.1362	2024-09-13	-0.18	-2.17	-4.18	-8.49	-6.54	-8.48	-17.46	-26.19	-1.16	13.62	0.12	10元	沪深指数	增强指数型
A004512	海富通沪深300指数增强C	0.9957	2024-09-13	-0.29	-2.27	-5.36	-6.4	-6.89	-8.53	-16.5	-26.99	-1.67	22.26	0.0	10元	沪深指数	增强指数型
A016690	鹏华沪深300指数增强C	0.8242	2024-09-13	-0.18	-2.18	-4.21	-8.56	-6.68	-8.76			-1.35	-17.58	0.0	10元	沪深指数	增强指数型
A005530	汇添富沪深300指数增强A	1.1163	2024-09-13	-0.38	-2.29	-3.98	-6.89	-5.44	-9.19	-13.3	-24.69	-3.76	31.69	0.15	10元	沪深指数	增强指数型
